movieId,title,first_rating
739,Pretty Woman (1990),1997-09-20 04:32:15
421,William Shakespeare's Romeo and Juliet (1996),1997-09-20 04:32:15
42,Clerks (1994),1997-09-20 04:32:15
234,Jaws (1975),1997-09-20 04:32:15
402,Ghost (1990),1997-09-20 04:32:15
423,E.T. the Extra-Terrestrial (1982),1997-09-20 04:32:40
174,Raiders of the Lost Ark (1981),1997-09-20 04:33:15
99,Snow White and the Seven Dwarfs (1937),1997-09-20 04:33:15
692,"American President, The (1995)",1997-09-20 04:33:15
392,"Man Without a Face, The (1993)",1997-09-20 04:33:16
812,Andre (1994),1997-09-20 04:33:16
1220,Higher Learning (1995),1997-09-20 04:33:16
215,Field of Dreams (1989),1997-09-20 04:33:51
82,Jurassic Park (1993),1997-09-20 04:33:51
61,Three Colors: White (1994),1997-09-20 04:33:51
202,Groundhog Day (1993),1997-09-20 04:33:51
432,Fantasia (1940),1997-09-20 04:34:16
462,Like Water For Chocolate (Como agua para chocolate) (1992),1997-09-20 04:34:45
746,Real Genius (1985),1997-09-20 04:34:45
69,Forrest Gump (1994),1997-09-20 04:34:45
195,"Terminator, The (1984)",1997-09-20 04:34:45
177,"Good, The Bad and The Ugly, The (1966)",1997-09-20 04:35:55
776,Three Wishes (1995),1997-09-20 04:35:55
1055,"Simple Twist of Fate, A (1994)",1997-09-20 04:35:55
88,Sleepless in Seattle (1993),1997-09-20 04:35:55
4,Get Shorty (1995),1997-09-20 04:36:19
785,Only You (1994),1997-09-20 04:36:46
238,Raising Arizona (1987),1997-09-20 04:36:46
1469,Tom and Huck (1995),1997-09-20 04:36:46
585,Son in Law (1993),1997-09-20 04:37:14
419,Mary Poppins (1964),1997-09-20 04:37:14
660,Fried Green Tomatoes (1991),1997-09-20 04:37:14
365,Powder (1995),1997-09-20 04:37:14
1503,Gold Diggers: The Secret of Bear Mountain (1995),1997-09-20 04:37:15
560,"Kid in King Arthur's Court, A (1995)",1997-09-20 04:37:41
71,"Lion King, The (1994)",1997-09-20 04:37:41
72,"Mask, The (1994)",1997-09-20 04:37:41
228,Star Trek: The Wrath of Khan (1982),1997-09-20 04:37:41
73,Maverick (1994),1997-09-20 04:38:13
622,Swiss Family Robinson (1960),1997-09-20 04:38:13
141,"20,000 Leagues Under the Sea (1954)",1997-09-20 04:38:40
662,Somewhere in Time (1980),1997-09-20 04:38:40
393,Mrs. Doubtfire (1993),1997-09-20 04:38:40
584,"Secret Garden, The (1993)",1997-09-20 04:39:02
949,How to Make an American Quilt (1995),1997-09-20 04:39:30
716,Home for the Holidays (1995),1997-09-20 04:39:30
378,Miracle on 34th Street (1994),1997-09-20 04:39:30
732,Dave (1993),1997-09-20 04:39:30
83,Much Ado About Nothing (1993),1997-09-20 04:39:56
191,Amadeus (1984),1997-09-20 04:39:56
196,Dead Poets Society (1989),1997-09-20 04:39:56
59,Three Colors: Red (1994),1997-09-20 04:40:20
136,Mr. Smith Goes to Washington (1939),1997-09-20 04:40:43
230,Star Trek IV: The Voyage Home (1986),1997-09-20 04:41:07
404,Pinocchio (1940),1997-09-20 04:41:07
655,Stand by Me (1986),1997-09-20 04:41:07
1053,Now and Then (1995),1997-09-20 04:41:30
729,Nell (1994),1997-09-20 04:41:31
568,Speed (1994),1997-09-20 04:41:31
941,With Honors (1994),1997-09-20 04:41:31
60,Three Colors: Blue (1993),1997-09-20 04:42:00
495,Around the World in 80 Days (1956),1997-09-20 04:42:00
506,Rebel Without a Cause (1955),1997-09-20 04:42:00
486,Sabrina (1954),1997-09-20 04:42:01
946,"Fox and the Hound, The (1981)",1997-09-20 04:42:01
95,Aladdin (1992),1997-09-20 04:42:32
747,Benny & Joon (1993),1997-09-20 04:42:32
431,Highlander (1986),1997-09-20 04:42:32
418,Cinderella (1950),1997-09-20 04:42:33
38,"Net, The (1995)",1997-09-20 04:42:33
1014,Romy and Michele's High School Reunion (1997),1997-09-20 14:56:48
845,That Thing You Do! (1996),1997-09-20 14:56:48
111,"Truth About Cats & Dogs, The (1996)",1997-09-20 14:56:48
742,Ransom (1996),1997-09-20 14:58:39
815,One Fine Day (1996),1997-09-20 14:59:10
824,"Great White Hype, The (1996)",1997-09-20 14:59:10
300,Air Force One (1997),1997-09-20 16:51:26
323,Dante's Peak (1997),1997-09-20 16:54:09
322,Murder at 1600 (1997),1997-09-20 16:54:09
866,Michael (1996),1997-09-20 16:56:15
100,Fargo (1996),1997-09-20 16:56:15
275,Sense and Sensibility (1995),1997-09-20 16:56:15
458,Nixon (1995),1997-09-20 16:56:15
455,Jackie Chan's First Strike (1996),1997-09-20 16:58:39
741,"Last Supper, The (1995)",1997-09-20 17:00:15
813,"Celluloid Closet, The (1995)",1997-09-20 17:02:36
718,In the Bleak Midwinter (1995),1997-09-20 17:02:36
235,Mars Attacks! (1996),1997-09-20 17:02:36
277,Restoration (1995),1997-09-20 17:03:13
237,Jerry Maguire (1996),1997-09-20 17:03:58
1086,It's My Party (1995),1997-09-20 17:05:36
412,"Very Brady Sequel, A (1996)",1997-09-20 17:05:36
282,"Time to Kill, A (1996)",1997-09-20 17:05:36
628,Sleepers (1996),1997-09-20 17:06:25
7,Twelve Monkeys (1995),1997-09-20 17:06:25
93,Welcome to the Dollhouse (1995),1997-09-20 17:07:42
1016,Con Air (1997),1997-09-20 17:07:42
276,Leaving Las Vegas (1995),1997-09-20 17:07:42
125,Phenomenon (1996),1997-09-20 17:07:42
222,Star Trek: First Contact (1996),1997-09-20 17:08:31
823,Mulholland Falls (1996),1997-09-20 17:10:06
829,Fled (1996),1997-09-20 17:10:06
472,Dragonheart (1996),1997-09-20 17:10:06
982,Maximum Risk (1996),1997-09-20 17:10:06
287,Marvin's Room (1996),1997-09-20 17:11:05
597,Eraser (1996),1997-09-20 17:11:05
762,Beautiful Girls (1996),1997-09-20 17:11:05
924,White Squall (1996),1997-09-20 17:12:15
274,Sabrina (1995),1997-09-20 17:13:00
109,Mystery Science Theater 3000: The Movie (1996),1997-09-20 17:13:00
475,Trainspotting (1996),1997-09-20 17:13:00
826,"Phantom, The (1996)",1997-09-20 17:13:00
257,Men in Black (1997),1997-09-20 17:13:34
1202,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)",1997-09-20 17:14:40
250,"Fifth Element, The (1997)",1997-09-20 17:15:31
827,Daylight (1996),1997-09-20 17:16:55
105,Sgt. Bilko (1996),1997-09-20 17:17:29
546,Broken Arrow (1996),1997-09-20 17:18:34
930,Chain Reaction (1996),1997-09-20 17:19:05
831,Escape from L.A. (1996),1997-09-20 17:19:40
1034,"Quest, The (1996)",1997-09-20 17:19:40
790,Tommy Boy (1995),1997-09-20 17:41:00
11,Seven (Se7en) (1995),1997-09-20 17:44:00
12,"Usual Suspects, The (1995)",1997-09-20 17:44:51
496,It's a Wonderful Life (1946),1997-09-20 17:44:51
180,Apocalypse Now (1979),1997-09-20 17:45:28
56,Pulp Fiction (1994),1997-09-20 17:45:28
382,"Adventures of Priscilla, Queen of the Desert, The (1994)",1997-09-20 17:45:28
170,Cinema Paradiso (1988),1997-09-20 17:46:23
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1997-09-20 17:47:03
134,Citizen Kane (1941),1997-09-20 17:47:03
770,Devil in a Blue Dress (1995),1997-09-20 17:47:38
64,"Shawshank Redemption, The (1994)",1997-09-20 17:48:21
47,Ed Wood (1994),1997-09-20 17:48:55
81,"Hudsucker Proxy, The (1994)",1997-09-20 17:48:55
175,Brazil (1985),1997-09-20 17:48:55
55,"Professional, The (1994)",1997-09-20 17:49:25
461,Smoke (1995),1997-09-20 17:50:33
169,"Wrong Trousers, The (1993)",1997-09-20 17:51:30
182,GoodFellas (1990),1997-09-20 17:52:05
318,Schindler's List (1993),1997-09-20 17:52:28
204,Back to the Future (1985),1997-09-20 17:52:54
91,"Nightmare Before Christmas, The (1993)",1997-09-20 17:53:18
85,"Ref, The (1994)",1997-09-20 17:54:25
70,Four Weddings and a Funeral (1994),1997-09-20 17:54:25
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",1997-09-20 17:54:56
209,This Is Spinal Tap (1984),1997-09-20 17:55:54
189,"Grand Day Out, A (1992)",1997-09-20 17:56:21
693,Casino (1995),1997-09-20 17:56:47
201,Evil Dead II (1987),1997-09-20 17:57:20
663,Being There (1979),1997-09-20 17:57:20
53,Natural Born Killers (1994),1997-09-20 17:57:54
214,Pink Floyd - The Wall (1982),1997-09-20 17:57:54
239,Sneakers (1992),1997-09-20 17:57:54
1073,Shallow Grave (1994),1997-09-20 17:58:19
428,Harold and Maude (1971),1997-09-20 17:58:19
231,Batman Returns (1992),1997-09-20 18:00:24
68,"Crow, The (1994)",1997-09-20 18:01:19
161,Top Gun (1986),1997-09-20 18:01:19
233,Under Siege (1992),1997-09-20 18:01:19
22,Braveheart (1995),1997-09-20 18:01:19
540,Money Train (1995),1997-09-20 18:01:19
92,True Romance (1993),1997-09-20 18:01:55
684,In the Line of Fire (1993),1997-09-20 18:02:48
2,GoldenEye (1995),1997-09-20 18:02:48
226,Die Hard 2 (1990),1997-09-20 18:02:49
566,Clear and Present Danger (1994),1997-09-20 18:02:49
720,First Knight (1995),1997-09-20 18:03:32
62,Stargate (1994),1997-09-20 18:03:32
578,Demolition Man (1993),1997-09-20 18:03:32
761,Nick of Time (1995),1997-09-20 18:03:33
33,Desperado (1995),1997-09-20 18:04:56
550,Die Hard: With a Vengeance (1995),1997-09-20 18:05:22
802,Hard Target (1993),1997-09-20 18:05:56
373,Judge Dredd (1995),1997-09-20 18:05:56
391,Last Action Hero (1993),1997-09-20 18:05:56
252,"Lost World: Jurassic Park, The (1997)",1997-09-20 18:40:32
825,"Arrival, The (1996)",1997-09-20 18:41:00
319,Everyone Says I Love You (1996),1997-09-20 18:41:04
292,Rosewood (1997),1997-09-20 18:41:04
245,"Devil's Own, The (1997)",1997-09-20 18:41:49
988,"Beautician and the Beast, The (1997)",1997-09-20 18:42:25
977,"Substitute, The (1996)",1997-09-20 18:42:49
1259,Pie in the Sky (1995),1997-09-20 18:43:16
19,Antonia's Line (1995),1997-09-20 18:43:24
254,Batman & Robin (1997),1997-09-20 18:43:57
1244,Metro (1997),1997-09-20 18:43:57
515,"Boot, Das (1981)",1997-09-20 18:44:10
595,"Fan, The (1996)",1997-09-20 18:44:27
986,Turbulence (1997),1997-09-20 18:44:28
127,"Godfather, The (1972)",1997-09-20 18:44:36
126,"Spitfire Grill, The (1996)",1997-09-20 18:46:13
14,"Postino, Il (1994)",1997-09-20 18:46:13
1153,Backbeat (1993),1997-09-20 18:46:38
492,East of Eden (1955),1997-09-20 18:46:38
1261,"Run of the Country, The (1995)",1997-09-20 18:46:38
221,Breaking the Waves (1996),1997-09-20 18:46:47
194,"Sting, The (1973)",1997-09-20 18:47:37
213,"Room with a View, A (1986)",1997-09-20 18:47:37
168,Monty Python and the Holy Grail (1974),1997-09-20 18:49:11
89,Blade Runner (1982),1997-09-20 18:49:12
511,Lawrence of Arabia (1962),1997-09-20 18:50:07
1260,Total Eclipse (1995),1997-09-20 18:52:27
188,Full Metal Jacket (1987),1997-09-20 18:55:42
1101,Six Degrees of Separation (1993),1997-09-20 18:56:19
31,Crimson Tide (1995),1997-09-20 18:56:19
87,Searching for Bobby Fischer (1993),1997-09-20 18:57:09
193,"Right Stuff, The (1983)",1997-09-20 18:57:52
124,Lone Star (1996),1997-09-20 18:59:54
199,"Bridge on the River Kwai, The (1957)",1997-09-20 18:59:54
154,Monty Python's Life of Brian (1979),1997-09-20 19:00:22
28,Apollo 13 (1995),1997-09-20 19:00:22
697,"Basketball Diaries, The (1995)",1997-09-20 19:01:08
86,"Remains of the Day, The (1993)",1997-09-20 19:01:08
23,Taxi Driver (1976),1997-09-20 19:01:40
658,Pump Up the Volume (1990),1997-09-20 19:02:07
449,Star Trek: The Motion Picture (1979),1997-09-20 19:03:10
132,"Wizard of Oz, The (1939)",1997-09-20 19:03:48
15,Mr. Holland's Opus (1995),1997-09-20 19:17:32
744,Michael Collins (1996),1997-09-20 19:21:38
713,Othello (1995),1997-09-20 19:38:57
919,"City of Lost Children, The (1995)",1997-09-20 19:40:40
116,Cold Comfort Farm (1995),1997-09-20 19:41:06
13,Mighty Aphrodite (1995),1997-09-20 19:41:37
408,"Close Shave, A (1995)",1997-09-20 19:42:18
283,Emma (1996),1997-09-20 19:42:55
1,Toy Story (1995),1997-09-20 19:43:35
224,Ridicule (1996),1997-09-20 19:43:58
151,Willy Wonka and the Chocolate Factory (1971),1997-09-20 19:44:28
961,Orlando (1993),1997-09-20 19:52:45
518,Miller's Crossing (1990),1997-09-20 19:53:14
433,Heathers (1989),1997-09-20 19:53:53
522,Down by Law (1986),1997-09-20 19:57:27
603,Rear Window (1954),1997-09-20 19:57:28
8,Babe (1995),1997-09-20 19:57:54
705,Singin' in the Rain (1952),1997-09-20 19:58:46
414,My Favorite Year (1982),1997-09-20 19:58:46
504,Bonnie and Clyde (1967),1997-09-20 20:00:24
183,Alien (1979),1997-09-20 20:02:08
479,Vertigo (1958),1997-09-20 20:02:08
171,Delicatessen (1991),1997-09-20 20:03:29
1006,Until the End of the World (Bis ans Ende der Welt) (1991),1997-09-20 20:03:29
32,Crumb (1994),1997-09-20 20:03:29
463,"Secret of Roan Inish, The (1994)",1997-09-20 20:04:03
642,"Grifters, The (1990)",1997-09-20 20:04:03
512,Wings of Desire (1987),1997-09-20 20:04:03
710,Better Off Dead... (1985),1997-09-20 20:04:49
527,Gandhi (1982),1997-09-20 20:05:26
144,Die Hard (1988),1997-09-20 20:05:26
652,Rosencrantz and Guildenstern Are Dead (1990),1997-09-20 20:05:26
367,Clueless (1995),1997-09-20 20:05:57
102,"Aristocats, The (1970)",1997-09-20 20:05:57
98,"Silence of the Lambs, The (1991)",1997-09-20 20:06:56
143,"Sound of Music, The (1965)",1997-09-20 20:07:46
387,"Age of Innocence, The (1993)",1997-09-20 20:08:18
629,Victor/Victoria (1982),1997-09-20 20:08:18
133,Gone with the Wind (1939),1997-09-20 20:10:20
145,"Lawnmower Man, The (1992)",1997-09-20 20:10:44
258,Contact (1997),1997-09-20 20:12:17
328,Conspiracy Theory (1997),1997-09-20 20:12:46
294,Liar Liar (1997),1997-09-20 20:12:46
678,Volcano (1997),1997-09-20 20:13:39
358,Spawn (1997),1997-09-20 20:13:39
325,Crash (1996),1997-09-20 20:13:39
324,Lost Highway (1997),1997-09-20 20:13:39
153,"Fish Called Wanda, A (1988)",1997-09-20 20:13:58
260,Event Horizon (1997),1997-09-20 20:13:59
508,"People vs. Larry Flynt, The (1996)",1997-09-20 20:14:27
211,M*A*S*H (1970),1997-09-20 20:15:12
273,Heat (1995),1997-09-20 20:15:17
547,"Young Poisoner's Handbook, The (1995)",1997-09-20 20:16:45
591,Primal Fear (1996),1997-09-20 20:17:12
249,Austin Powers: International Man of Mystery (1997),1997-09-20 20:17:12
471,Courage Under Fire (1996),1997-09-20 20:17:37
123,"Frighteners, The (1996)",1997-09-20 20:17:37
520,"Great Escape, The (1963)",1997-09-20 20:17:44
25,"Birdcage, The (1996)",1997-09-20 20:18:06
410,Kingpin (1996),1997-09-20 20:18:06
246,Chasing Amy (1997),1997-09-20 20:18:06
293,Donnie Brasco (1997),1997-09-20 20:18:06
483,Casablanca (1942),1997-09-20 20:18:15
240,Beavis and Butt-head Do America (1996),1997-09-20 20:18:33
203,Unforgiven (1992),1997-09-20 20:19:06
1010,Basquiat (1996),1997-09-20 20:19:44
685,Executive Decision (1996),1997-09-20 20:19:44
411,"Nutty Professor, The (1996)",1997-09-20 20:20:07
406,Thinner (1996),1997-09-20 20:20:31
225,101 Dalmatians (1996),1997-09-20 20:20:54
1129,Chungking Express (1994),1997-09-20 20:21:16
840,Last Man Standing (1996),1997-09-20 20:21:37
148,"Ghost and the Darkness, The (1996)",1997-09-20 20:22:04
150,Swingers (1996),1997-09-20 20:22:04
3,Four Rooms (1995),1997-09-20 20:22:04
974,Eye for an Eye (1996),1997-09-20 20:22:25
162,On Golden Pond (1981),1997-09-20 20:22:30
118,Twister (1996),1997-09-20 20:22:44
528,"Killing Fields, The (1984)",1997-09-20 20:22:54
1028,Grumpier Old Men (1995),1997-09-20 20:24:04
155,Dirty Dancing (1987),1997-09-20 20:24:19
993,Hercules (1997),1997-09-20 20:24:25
281,"River Wild, The (1994)",1997-09-20 20:24:25
1245,Gridlock'd (1997),1997-09-20 20:24:51
526,Ben-Hur (1959),1997-09-20 20:25:16
217,Bram Stoker's Dracula (1992),1997-09-20 20:25:44
1013,Anaconda (1997),1997-09-20 20:25:50
122,"Cable Guy, The (1996)",1997-09-20 20:25:50
229,Star Trek III: The Search for Spock (1984),1997-09-20 20:26:02
120,Striptease (1996),1997-09-20 20:26:12
21,Muppet Treasure Island (1996),1997-09-20 20:26:35
216,When Harry Met Sally... (1989),1997-09-20 20:26:44
763,Happy Gilmore (1996),1997-09-20 20:26:54
456,Beverly Hills Ninja (1997),1997-09-20 20:27:17
451,Grease (1978),1997-09-20 20:27:36
856,Night on Earth (1991),1997-09-20 20:28:08
1079,Joe's Apartment (1996),1997-09-20 20:28:20
516,Local Hero (1983),1997-09-20 20:28:50
381,Muriel's Wedding (1994),1997-09-20 20:29:10
192,Raging Bull (1980),1997-09-20 20:29:13
90,So I Married an Axe Murderer (1993),1997-09-20 20:29:30
27,Bad Boys (1995),1997-09-20 20:30:07
582,"Piano, The (1993)",1997-09-20 20:30:07
135,2001: A Space Odyssey (1968),1997-09-20 20:30:41
469,Short Cuts (1993),1997-09-20 20:30:41
160,Glengarry Glen Ross (1992),1997-09-20 20:30:41
806,Menace II Society (1993),1997-09-20 20:31:07
65,What's Eating Gilbert Grape (1993),1997-09-20 20:31:07
523,Cool Hand Luke (1967),1997-09-20 20:31:36
558,Heavenly Creatures (1994),1997-09-20 20:32:06
57,Priest (1994),1997-09-20 20:32:06
197,"Graduate, The (1967)",1997-09-20 20:32:29
1005,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",1997-09-20 20:34:07
227,Star Trek VI: The Undiscovered Country (1991),1997-09-20 20:35:38
380,Star Trek: Generations (1994),1997-09-20 20:36:14
219,"Nightmare on Elm Street, A (1984)",1997-09-20 20:43:07
549,Rob Roy (1995),1997-09-20 20:44:50
1004,Geronimo: An American Legend (1993),1997-09-20 20:45:18
780,Dumb & Dumber (1994),1997-09-20 20:46:28
679,Conan the Barbarian (1981),1997-09-20 20:47:23
748,"Saint, The (1997)",1997-09-20 20:53:24
1221,When a Man Loves a Woman (1994),1997-09-20 20:55:57
386,Addams Family Values (1993),1997-09-20 20:56:41
1047,Multiplicity (1996),1997-09-20 20:56:45
1009,Stealing Beauty (1996),1997-09-20 20:58:04
1199,Cemetery Man (Dellamorte Dellamore) (1994),1997-09-20 20:59:15
530,"Man Who Would Be King, The (1975)",1997-09-20 21:01:19
427,To Kill a Mockingbird (1962),1997-09-20 21:01:19
795,Richie Rich (1994),1997-09-20 21:05:38
1228,Under Siege 2: Dark Territory (1995),1997-09-20 21:08:24
1207,Jade (1995),1997-09-20 21:20:39
1046,Malice (1993),1997-09-20 21:23:49
223,Sling Blade (1996),1997-09-20 21:26:13
157,Platoon (1986),1997-09-20 21:26:13
1141,"War Room, The (1993)",1997-09-20 21:26:13
531,Shine (1996),1997-09-20 21:26:41
554,Waterworld (1995),1997-09-20 21:26:53
470,Tombstone (1993),1997-09-20 21:27:35
939,Murder in the First (1995),1997-09-20 21:27:35
1194,Once Were Warriors (1994),1997-09-20 21:27:55
647,Ran (1985),1997-09-20 21:28:23
1337,Larger Than Life (1996),1997-09-20 21:28:50
429,"Day the Earth Stood Still, The (1951)",1997-09-20 21:29:32
39,Strange Days (1995),1997-09-20 21:29:55
1188,Young Guns II (1990),1997-09-20 21:29:58
51,Legends of the Fall (1994),1997-09-20 21:30:25
54,Outbreak (1995),1997-09-20 21:30:25
425,Bob Roberts (1992),1997-09-20 21:31:41
356,"Client, The (1994)",1997-09-20 21:31:41
187,"Godfather: Part II, The (1974)",1997-09-20 21:31:42
179,"Clockwork Orange, A (1971)",1997-09-20 21:31:42
1267,Clockers (1995),1997-09-20 21:31:42
46,Exotica (1994),1997-09-20 21:32:25
58,Quiz Show (1994),1997-09-20 21:32:49
291,Absolute Power (1997),1997-09-20 21:32:49
569,Wolf (1994),1997-09-20 21:32:49
771,Johnny Mnemonic (1995),1997-09-20 21:32:52
715,To Die For (1995),1997-09-20 21:33:14
735,Philadelphia (1993),1997-09-20 21:33:34
317,In the Name of the Father (1993),1997-09-20 21:34:17
375,Showgirls (1995),1997-09-20 21:35:39
1482,"Gate of Heavenly Peace, The (1995)",1997-09-20 21:36:23
43,Disclosure (1994),1997-09-20 21:36:23
1213,Guilty as Sin (1993),1997-09-20 21:36:47
1428,SubUrbia (1997),1997-09-20 21:37:00
583,Romeo Is Bleeding (1993),1997-09-20 21:37:24
803,Heaven & Earth (1993),1997-09-20 21:38:07
1232,Madonna: Truth or Dare (1991),1997-09-20 21:38:08
76,Carlito's Way (1993),1997-09-20 21:38:26
1426,Grace of My Heart (1996),1997-09-20 21:38:26
1135,"Doors, The (1991)",1997-09-20 21:38:47
789,Swimming with Sharks (1995),1997-09-20 21:40:23
721,Mallrats (1995),1997-09-20 21:41:11
786,"Perez Family, The (1995)",1997-09-20 21:41:34
959,Dazed and Confused (1993),1997-09-20 21:41:35
929,Harriet the Spy (1996),1997-09-20 21:43:06
734,Made in America (1993),1997-09-20 21:43:06
564,Tales from the Hood (1995),1997-09-20 21:43:25
854,Bad Taste (1987),1997-09-20 21:43:26
1118,Up in Smoke (1978),1997-09-20 21:43:50
592,True Crime (1995),1997-09-20 21:44:10
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1997-09-20 21:44:31
17,From Dusk Till Dawn (1996),1997-09-20 21:44:54
1140,"Road to Wellville, The (1994)",1997-09-20 21:44:54
796,Speechless (1994),1997-09-20 21:45:32
158,Weekend at Bernie's (1989),1997-09-20 21:45:32
364,Ace Ventura: When Nature Calls (1995),1997-09-20 21:46:16
545,Vampire in Brooklyn (1995),1997-09-20 21:46:16
67,Ace Ventura: Pet Detective (1994),1997-09-20 21:46:33
186,"Blues Brothers, The (1980)",1997-09-20 21:46:58
709,Strictly Ballroom (1992),1997-09-20 21:46:58
1218,Friday (1995),1997-09-20 21:47:20
232,Young Guns (1988),1997-09-20 21:48:14
401,"Brady Bunch Movie, The (1995)",1997-09-20 21:48:14
388,Beverly Hills Cop III (1994),1997-09-20 21:48:14
571,Another Stakeout (1993),1997-09-20 21:48:38
396,Serial Mom (1994),1997-09-20 21:48:38
369,Black Sheep (1996),1997-09-20 21:49:02
783,Milk Money (1994),1997-09-20 21:49:03
63,"Santa Clause, The (1994)",1997-09-20 21:49:28
384,Naked Gun 33 1/3: The Final Insult (1994),1997-09-20 21:49:49
139,"Love Bug, The (1969)",1997-09-20 21:50:32
80,Hot Shots! Part Deux (1993),1997-09-20 21:50:37
41,Billy Madison (1995),1997-09-20 21:51:17
728,Junior (1994),1997-09-20 21:51:17
1084,Anne Frank Remembered (1995),1997-09-20 21:51:25
409,Jack (1996),1997-09-20 21:51:50
407,Spy Hard (1996),1997-09-20 21:51:50
575,City Slickers II: The Legend of Curly's Gold (1994),1997-09-20 21:51:50
24,Rumble in the Bronx (1995),1997-09-20 21:52:46
241,"Last of the Mohicans, The (1992)",1997-09-20 21:53:22
476,"First Wives Club, The (1996)",1997-09-20 21:53:23
128,Supercop (1992),1997-09-20 21:53:56
265,"Hunt for Red October, The (1990)",1997-09-20 21:54:43
636,Escape from New York (1981),1997-09-20 21:54:43
665,Alien 3 (1992),1997-09-20 21:55:20
541,Mortal Kombat (1995),1997-09-20 21:55:20
576,Cliffhanger (1993),1997-09-20 21:55:47
184,Army of Darkness (1993),1997-09-20 21:55:47
686,"Perfect World, A (1993)",1997-09-20 21:55:47
397,Striking Distance (1993),1997-09-20 21:56:41
743,"Crow: City of Angels, The (1996)",1997-09-20 21:57:14
1416,No Escape (1994),1997-09-20 21:57:14
399,"Three Musketeers, The (1993)",1997-09-20 21:57:14
450,Star Trek V: The Final Frontier (1989),1997-09-20 21:57:14
218,Cape Fear (1991),1997-09-20 21:57:43
559,Interview with the Vampire (1994),1997-09-20 21:57:43
447,Carrie (1976),1997-09-20 21:57:43
164,"Abyss, The (1989)",1997-09-20 21:57:43
672,Candyman (1992),1997-09-20 21:58:12
5,Copycat (1995),1997-09-20 21:58:12
448,"Omen, The (1976)",1997-09-20 21:58:12
443,"Birds, The (1963)",1997-09-20 21:58:12
459,"Cry, the Beloved Country (1995)",1997-09-20 21:58:18
436,"American Werewolf in London, An (1981)",1997-09-20 21:58:31
800,In the Mouth of Madness (1995),1997-09-20 21:59:05
561,Mary Shelley's Frankenstein (1994),1997-09-20 21:59:05
379,Tales From the Crypt Presents: Demon Knight (1995),1997-09-20 21:59:05
669,Body Parts (1991),1997-09-20 21:59:27
551,Lord of Illusions (1995),1997-09-20 21:59:27
816,Candyman: Farewell to the Flesh (1995),1997-09-20 21:59:53
567,Wes Craven's New Nightmare (1994),1997-09-20 21:59:54
773,Mute Witness (1994),1997-09-20 21:59:54
755,Jumanji (1995),1997-09-20 22:01:10
1197,"Family Thing, A (1996)",1997-09-20 22:01:29
627,Robin Hood: Prince of Thieves (1991),1997-09-20 22:01:47
